event_id,video,frame_id,video_time_sec,type,type_cn,confidence,direction,message,bbox,source_frame_ids
1-road_obstacle-249,1,249,8.586,road_obstacle,路面障碍,0.7770,front,前方有障碍，请注意避让。,"[136, 33, 530, 523]","[248, 249]"
1-road_obstacle-256,1,256,8.828,road_obstacle,路面障碍,0.6175,front,前方有障碍，请注意避让。,"[159, 55, 538, 577]","[255, 256]"
1-road_obstacle-261,1,261,9.0,road_obstacle,路面障碍,0.6226,front,前方有障碍，请注意避让。,"[141, 61, 537, 626]","[260, 261]"
1-road_obstacle-266,1,266,9.172,road_obstacle,路面障碍,0.6011,front,前方有障碍，请注意避让。,"[151, 29, 539, 652]","[265, 266]"
1-road_obstacle-273,1,273,9.414,road_obstacle,路面障碍,0.6341,left_front,左前方有障碍，请注意避让。,"[4, 6, 83, 105]","[272, 273]"
1-road_obstacle-280,1,280,9.655,road_obstacle,路面障碍,0.5926,left_front,左前方有障碍，请注意避让。,"[0, 0, 119, 93]","[279, 280]"
1-road_obstacle-305,1,305,10.517,road_obstacle,路面障碍,0.6009,front,前方有障碍，请注意避让。,"[109, 0, 283, 88]","[304, 305]"
1-road_obstacle-311,1,311,10.724,road_obstacle,路面障碍,0.5571,front,前方有障碍，请注意避让。,"[219, 0, 399, 93]","[310, 311]"
1-road_obstacle-316,1,316,10.897,road_obstacle,路面障碍,0.6885,right_front,右前方有障碍，请注意避让。,"[322, 0, 503, 97]","[315, 316]"
1-blind_road_occupied-326,1,326,11.241,blind_road_occupied,盲道占用,0.6756,front,前方盲道被占用，请注意绕行。,"[0, 534, 423, 960]","[325, 326]"
1-road_obstacle-331,1,331,11.414,road_obstacle,路面障碍,0.6673,front,前方有障碍，请注意避让。,"[204, 74, 457, 267]","[330, 331]"
1-blind_road_occupied-331,1,331,11.414,blind_road_occupied,盲道占用,0.6854,front,前方盲道被占用，请注意绕行。,"[1, 560, 446, 960]","[330, 331]"
1-blind_road_occupied-336,1,336,11.586,blind_road_occupied,盲道占用,0.6713,front,前方盲道被占用，请注意绕行。,"[0, 606, 453, 960]","[335, 336]"
1-road_obstacle-357,1,357,12.31,road_obstacle,路面障碍,0.7446,left_front,左前方有障碍，请注意避让。,"[2, 1, 159, 315]","[356, 357]"
1-road_obstacle-399,1,399,13.759,road_obstacle,路面障碍,0.6829,left_front,左前方有障碍，请注意避让。,"[4, 0, 288, 184]","[398, 399]"
1-ramp-402,1,402,13.862,ramp,坡道,0.7809,front,前方有坡道。,"[54, 548, 416, 876]","[401, 402]"
1-road_obstacle-404,1,404,13.931,road_obstacle,路面障碍,0.8033,left_front,左前方有障碍，请注意避让。,"[0, 1, 274, 224]","[403, 404]"
2-blind_road_occupied-2,2,2,0.069,blind_road_occupied,盲道占用,0.8519,front,前方盲道被占用，请注意绕行。,"[2, 229, 539, 562]","[1, 2]"
2-blind_road_occupied-7,2,7,0.241,blind_road_occupied,盲道占用,0.8639,front,前方盲道被占用，请注意绕行。,"[4, 230, 540, 562]","[6, 7]"
2-blind_road_occupied-12,2,12,0.414,blind_road_occupied,盲道占用,0.8688,front,前方盲道被占用，请注意绕行。,"[4, 227, 540, 563]","[11, 12]"
2-blind_road_occupied-17,2,17,0.586,blind_road_occupied,盲道占用,0.8705,front,前方盲道被占用，请注意绕行。,"[3, 229, 540, 572]","[16, 17]"
2-blind_road_occupied-22,2,22,0.759,blind_road_occupied,盲道占用,0.8707,front,前方盲道被占用，请注意绕行。,"[0, 232, 540, 593]","[21, 22]"
2-blind_road_occupied-27,2,27,0.931,blind_road_occupied,盲道占用,0.8331,front,前方盲道被占用，请注意绕行。,"[0, 240, 540, 634]","[26, 27]"
2-blind_road_occupied-32,2,32,1.103,blind_road_occupied,盲道占用,0.8045,front,前方盲道被占用，请注意绕行。,"[0, 251, 540, 676]","[31, 32]"
2-blind_road_occupied-37,2,37,1.276,blind_road_occupied,盲道占用,0.7547,front,前方盲道被占用，请注意绕行。,"[0, 269, 540, 730]","[36, 37]"
2-blind_road_occupied-42,2,42,1.448,blind_road_occupied,盲道占用,0.7597,front,前方盲道被占用，请注意绕行。,"[0, 282, 540, 871]","[41, 42]"
2-blind_road_occupied-47,2,47,1.621,blind_road_occupied,盲道占用,0.8057,front,前方盲道被占用，请注意绕行。,"[0, 297, 540, 937]","[46, 47]"
2-blind_road_occupied-52,2,52,1.793,blind_road_occupied,盲道占用,0.8321,front,前方盲道被占用，请注意绕行。,"[0, 307, 540, 958]","[51, 52]"
2-blind_road_occupied-57,2,57,1.966,blind_road_occupied,盲道占用,0.8346,front,前方盲道被占用，请注意绕行。,"[0, 322, 540, 957]","[56, 57]"
2-blind_road_occupied-62,2,62,2.138,blind_road_occupied,盲道占用,0.8465,front,前方盲道被占用，请注意绕行。,"[0, 333, 540, 958]","[61, 62]"
2-road_obstacle-63,2,63,2.172,road_obstacle,路面障碍,0.5628,right_front,右前方有障碍，请注意避让。,"[207, 0, 539, 184]","[62, 63]"
2-blind_road_occupied-67,2,67,2.31,blind_road_occupied,盲道占用,0.8154,front,前方盲道被占用，请注意绕行。,"[0, 364, 540, 959]","[66, 67]"
2-blind_road_occupied-72,2,72,2.483,blind_road_occupied,盲道占用,0.8375,front,前方盲道被占用，请注意绕行。,"[0, 391, 538, 960]","[71, 72]"
2-road_obstacle-74,2,74,2.552,road_obstacle,路面障碍,0.6634,right_front,右前方有障碍，请注意避让。,"[228, 0, 539, 219]","[73, 74]"
2-blind_road_occupied-77,2,77,2.655,blind_road_occupied,盲道占用,0.8607,front,前方盲道被占用，请注意绕行。,"[0, 418, 538, 959]","[76, 77]"
2-blind_road_occupied-82,2,82,2.828,blind_road_occupied,盲道占用,0.7947,front,前方盲道被占用，请注意绕行。,"[0, 452, 539, 957]","[81, 82]"
